site,mg,mg2,cultivar,phenology,date,phenology.num,yield,pd,author
Stoneville,7,early7,HBKR7028,R2,5/9/2012,5,5036.714172,3/25/2012,Salmeron
Stoneville,7,early7,HBKR7028,R5,6/22/2012,8,5036.714172,3/25/2012,Salmeron
Stoneville,7,early7,HBKR7028,R6,7/7/2012,9,5036.714172,3/25/2012,Salmeron
Stoneville,7,early7,HBKR7028,R7,8/17/2012,10,5036.714172,3/25/2012,Salmeron
Stoneville,7,early7,HBKR7028,R8,9/2/2012,11,5036.714172,3/25/2012,Salmeron
Stoneville,6.7,late6,AG6732,VE,4/1/2012,1,4533.785661,3/25/2012,Salmeron
Stoneville,6.7,late6,AG6732,R1,5/7/2012,4,4533.785661,3/25/2012,Salmeron
Stoneville,6.7,late6,AG6732,R2,5/9/2012,5,4533.785661,3/25/2012,Salmeron
Stoneville,6.7,late6,AG6732,R5,6/13/2012,8,4533.785661,3/25/2012,Salmeron
Stoneville,6.7,late6,AG6732,R6,6/23/2012,9,4533.785661,3/25/2012,Salmeron
Stoneville,6.7,late6,AG6732,R7,8/10/2012,10,4533.785661,3/25/2012,Salmeron
Stoneville,6.7,late6,AG6732,R8,9/2/2012,11,4533.785661,3/25/2012,Salmeron
Stoneville,3.7,late3,P93Y72,VE,4/1/2012,1,1152.656442,3/25/2012,Salmeron
Stoneville,3.7,late3,P93Y72,R1,5/6/2012,4,1152.656442,3/25/2012,Salmeron
Stoneville,3.7,late3,P93Y72,R2,5/9/2012,5,1152.656442,3/25/2012,Salmeron
Stoneville,3.7,late3,P93Y72,R5,5/26/2012,8,1152.656442,3/25/2012,Salmeron
Stoneville,3.7,late3,P93Y72,R6,6/12/2012,9,1152.656442,3/25/2012,Salmeron
Stoneville,3.7,late3,P93Y72,R7,6/29/2012,10,1152.656442,3/25/2012,Salmeron
Stoneville,3.7,late3,P93Y72,R8,7/16/2012,11,1152.656442,3/25/2012,Salmeron
Stoneville,3.4,late3,5N342R2,VE,4/1/2012,1,869.3396302,3/25/2012,Salmeron
Stoneville,3.4,late3,5N342R2,R1,5/6/2012,4,869.3396302,3/25/2012,Salmeron
Stoneville,3.4,late3,5N342R2,R2,5/9/2012,5,869.3396302,3/25/2012,Salmeron
Stoneville,3.4,late3,5N342R2,R5,5/25/2012,8,869.3396302,3/25/2012,Salmeron
Stoneville,3.4,late3,5N342R2,R6,6/13/2012,9,869.3396302,3/25/2012,Salmeron
Stoneville,3.4,late3,5N342R2,R7,6/24/2012,10,869.3396302,3/25/2012,Salmeron
Stoneville,3.4,late3,5N342R2,R8,7/16/2012,11,869.3396302,3/25/2012,Salmeron
Stoneville,3.6,late3,RT3644,VE,4/1/2012,1,919.5930253,3/25/2012,Salmeron
Stoneville,3.6,late3,RT3644,R1,5/6/2012,4,919.5930253,3/25/2012,Salmeron
Stoneville,3.6,late3,RT3644,R2,5/9/2012,5,919.5930253,3/25/2012,Salmeron
Stoneville,3.6,late3,RT3644,R5,5/27/2012,8,919.5930253,3/25/2012,Salmeron
Stoneville,3.6,late3,RT3644,R6,6/17/2012,9,919.5930253,3/25/2012,Salmeron
Stoneville,3.6,late3,RT3644,R7,6/27/2012,10,919.5930253,3/25/2012,Salmeron
Stoneville,3.6,late3,RT3644,R8,7/16/2012,11,919.5930253,3/25/2012,Salmeron
Stoneville,3.9,late3,P93Y92,VE,4/1/2012,1,1727.576294,3/25/2012,Salmeron
Stoneville,3.9,late3,P93Y92,R1,5/5/2012,4,1727.576294,3/25/2012,Salmeron
Stoneville,3.9,late3,P93Y92,R2,5/8/2012,5,1727.576294,3/25/2012,Salmeron
Stoneville,3.9,late3,P93Y92,R5,5/27/2012,8,1727.576294,3/25/2012,Salmeron
Stoneville,3.9,late3,P93Y92,R6,6/17/2012,9,1727.576294,3/25/2012,Salmeron
Stoneville,3.9,late3,P93Y92,R7,6/28/2012,10,1727.576294,3/25/2012,Salmeron
Stoneville,3.9,late3,P93Y92,R8,7/16/2012,11,1727.576294,3/25/2012,Salmeron
Stoneville,3.4,late3,5N342R2,VE,6/13/2012,1,4280.621768,6/6/2012,Salmeron
Stoneville,3.4,late3,5N342R2,R1,7/6/2012,4,4280.621768,6/6/2012,Salmeron
Stoneville,3.4,late3,5N342R2,R2,7/16/2012,5,4280.621768,6/6/2012,Salmeron
Stoneville,3.4,late3,5N342R2,R5,8/11/2012,8,4280.621768,6/6/2012,Salmeron
Stoneville,3.4,late3,5N342R2,R6,8/27/2012,9,4280.621768,6/6/2012,Salmeron
Stoneville,3.4,late3,5N342R2,R7,9/10/2012,10,4280.621768,6/6/2012,Salmeron
Stoneville,3.4,late3,5N342R2,R8,9/25/2012,11,4280.621768,6/6/2012,Salmeron
Stoneville,3.9,late3,P93Y92,VE,6/13/2012,1,3501.840756,6/6/2012,Salmeron
Stoneville,3.9,late3,P93Y92,R1,7/6/2012,4,3501.840756,6/6/2012,Salmeron
Stoneville,3.9,late3,P93Y92,R2,7/16/2012,5,3501.840756,6/6/2012,Salmeron
Stoneville,3.9,late3,P93Y92,R5,8/6/2012,8,3501.840756,6/6/2012,Salmeron
Stoneville,3.9,late3,P93Y92,R6,8/25/2012,9,3501.840756,6/6/2012,Salmeron
Stoneville,3.9,late3,P93Y92,R7,9/10/2012,10,3501.840756,6/6/2012,Salmeron
Stoneville,3.9,late3,P93Y92,R8,9/25/2012,11,3501.840756,6/6/2012,Salmeron
Stoneville,3.7,late3,P93Y72,VE,6/13/2012,1,3585.289481,6/6/2012,Salmeron
Stoneville,3.7,late3,P93Y72,R1,7/6/2012,4,3585.289481,6/6/2012,Salmeron
Stoneville,3.7,late3,P93Y72,R2,7/16/2012,5,3585.289481,6/6/2012,Salmeron
Stoneville,3.7,late3,P93Y72,R5,8/10/2012,8,3585.289481,6/6/2012,Salmeron
Stoneville,3.7,late3,P93Y72,R6,8/25/2012,9,3585.289481,6/6/2012,Salmeron
Stoneville,3.7,late3,P93Y72,R7,9/10/2012,10,3585.289481,6/6/2012,Salmeron
Stoneville,3.7,late3,P93Y72,R8,9/25/2012,11,3585.289481,6/6/2012,Salmeron
Stoneville,3.6,late3,RT3644,VE,6/13/2012,1,3551.539517,6/6/2012,Salmeron
Stoneville,3.6,late3,RT3644,R1,7/6/2012,4,3551.539517,6/6/2012,Salmeron
Stoneville,3.6,late3,RT3644,R2,7/16/2012,5,3551.539517,6/6/2012,Salmeron
Stoneville,3.6,late3,RT3644,R5,8/6/2012,8,3551.539517,6/6/2012,Salmeron
Stoneville,3.6,late3,RT3644,R6,8/25/2012,9,3551.539517,6/6/2012,Salmeron
Stoneville,3.6,late3,RT3644,R7,9/10/2012,10,3551.539517,6/6/2012,Salmeron
Stoneville,3.6,late3,RT3644,R8,9/25/2012,11,3551.539517,6/6/2012,Salmeron
Stoneville,5.5,late5,AG5532,VE,6/13/2012,1,2730.912739,6/6/2012,Salmeron
Stoneville,5.5,late5,AG5532,R1,7/22/2012,4,2730.912739,6/6/2012,Salmeron
Stoneville,5.5,late5,AG5532,R2,8/1/2012,5,2730.912739,6/6/2012,Salmeron
Stoneville,5.5,late5,AG5532,R5,8/18/2012,8,2730.912739,6/6/2012,Salmeron
Stoneville,5.5,late5,AG5532,R6,9/2/2012,9,2730.912739,6/6/2012,Salmeron
Stoneville,5.5,late5,AG5532,R7,10/4/2012,10,2730.912739,6/6/2012,Salmeron
Stoneville,5.5,late5,AG5532,R8,10/29/2012,11,2730.912739,6/6/2012,Salmeron
Stoneville,5.5,late5,P95Y50,VE,6/13/2012,1,3696.212921,6/6/2012,Salmeron
Stoneville,5.5,late5,P95Y50,R1,7/22/2012,4,3696.212921,6/6/2012,Salmeron
Stoneville,5.5,late5,P95Y50,R2,8/1/2012,5,3696.212921,6/6/2012,Salmeron
Stoneville,5.5,late5,P95Y50,R5,8/19/2012,8,3696.212921,6/6/2012,Salmeron
Stoneville,5.5,late5,P95Y50,R6,9/2/2012,9,3696.212921,6/6/2012,Salmeron
Stoneville,5.5,late5,P95Y50,R7,10/4/2012,10,3696.212921,6/6/2012,Salmeron
Stoneville,5.5,late5,P95Y50,R8,10/29/2012,11,3696.212921,6/6/2012,Salmeron
Stoneville,5.3,early5,AG5332,VE,6/13/2012,1,3958.941197,6/6/2012,Salmeron
Stoneville,5.3,early5,AG5332,R1,7/11/2012,4,3958.941197,6/6/2012,Salmeron
